Summary
Total Emissions (kg CO2e),42.5
Total Cost (USD),1250.75
Average Daily Emissions (kg CO2e/day),1.42

Emissions by Service
Service,Emissions (kg CO2e),Percentage
Virtual Machines,18.2,42.8%
Storage Account,8.5,20.0%
App Service,7.3,17.2%
SQL Database,5.1,12.0%
Azure Functions,3.4,8.0%

Emissions by Region
Region,Emissions (kg CO2e),Percentage
East US,15.6,36.7%
West Europe,12.3,28.9%
Southeast Asia,9.8,23.1%
Central US,4.8,11.3%

Daily Emissions
Date,Emissions (kg CO2e)
2025-05-10,1.44
2025-05-11,1.3
2025-05-12,1.1
2025-05-13,1.29
2025-05-14,1.21
2025-05-15,1.81
2025-05-16,1.64
2025-05-17,1.96
2025-05-18,1.41
2025-05-19,1.8
2025-05-20,1.88
2025-05-21,1.59
2025-05-22,1.35
2025-05-23,1.87
2025-05-24,1.79
2025-05-25,1.59
2025-05-26,1.31
2025-05-27,1.03
2025-05-28,1.1
2025-05-29,1.0
2025-05-30,1.61
2025-05-31,1.23
2025-06-01,1.83
2025-06-02,1.78
2025-06-03,1.66
2025-06-04,1.98
2025-06-05,1.67
2025-06-06,1.82
2025-06-07,1.99
2025-06-08,1.24
2025-06-09,1.48
